Entered by?,"Animal ID (RS, CL)",Animal ID,WLHID,"Herd (RS, CL)",Herd,"Sex (F, M)",Age.when.collard,Date entry,Date exit,Suspected Mortality Date,Outcome,Cause,mortality.loc.easting,mortality.loc.northing,Comment,MonitoringDays,,
MJF from AMRoberts,TWC1032,TWC1032,16-8926,Tweedsmuir,Tweedsmuir,F,Adult,2017/02/14,2018/01/09,NA,Censored,collar failure,,,,329,,
Klaczek,31,NA,16-8909,Wolverine,Wolverine,F,Adult,2017/02/08,2019/04/30,NA,Censored,NA,,,,811,,
Klaczek,32,NA,16-8910,Wolverine,Wolverine,F,Adult,2017/02/08,2019/04/30,NA,Censored,NA,,,,811,,
Klaczek,33,NA,16-8911,Wolverine,Wolverine,F,Adult,2017/02/08,2019/04/30,NA,Censored,NA,,,,811,,
Klaczek,34,NA,16-8912,Wolverine,Wolverine,F,Adult,2017/02/08,2019/04/30,NA,Censored,NA,,,,811,,
Klaczek,35,NA,16-8913,Wolverine,Wolverine,F,Adult,2017/02/08,2019/04/30,NA,Censored,NA,,,,811,,
Klaczek,36,NA,16-8914,Wolverine,Wolverine,F,Adult,2017/02/08,2019/04/30,NA,Censored,NA,,,,811,,
Klaczek,37,NA,16-8915,Wolverine,Wolverine,F,Adult,2017/02/08,2019/04/30,NA,Censored,NA,,,,811,,
Klaczek,38,NA,16-8916,Wolverine,Wolverine,F,Adult,2017/02/08,2019/04/30,NA,Censored,NA,,,,811,,
Klaczek,39,NA,16-8918,Wolverine,Wolverine,F,Adult,2017/02/08,2019/04/30,NA,Censored,NA,,,,811,,
Klaczek,40,NA,16-8919,Wolverine,Wolverine,F,Adult,2017/02/08,2019/04/30,NA,Censored,NA,,,,811,,
Klaczek,41,NA,16-8920,Wolverine,Wolverine,F,Adult,2017/02/08,2018/07/04,2018/07/04,Mortality,unknown,,,,511,,
Gill / Serrouya,25,25,,Columbia North,Columbia North,F,Adult,2016/07/17,2017/03/31,,Alive,,,,release,257,,
Gill / Serrouya,54,54,,Columbia North,Columbia North,F,Adult,2016/07/17,2017/03/31,,Alive,,,,release,257,,
Gill / Serrouya,55,55,,Columbia North,Columbia North,F,Adult,2016/07/17,2017/03/31,,Alive,,,,release,257,,
Gill / Serrouya,56,56,,Columbia North,Columbia North,F,Adult,2016/07/17,2017/03/31,,Alive,,,,release,257,,
Gill / Serrouya,57,57,,Columbia North,Columbia North,F,Adult,2016/07/17,2017/03/31,,Alive,,,,release,257,,
Gill / Serrouya,58,58,,Columbia North,Columbia North,F,Adult,2016/07/17,2017/03/31,,Alive,,,,release,257,,
Gill / Serrouya,59,59,,Columbia North,Columbia North,F,Adult,2016/07/17,2017/03/31,,Alive,,,,release,257,,
Gill / Serrouya,62,62,,Columbia North,Columbia North,F,Adult,2016/07/17,2017/03/31,,Alive,,,,release,257,,
Gill / Serrouya,60,60,,Columbia North,Columbia North,F,Adult,2016/07/17,2017/01/02,2017/01/02,Mortality,Wolf,,,release,169,,
Gill / Serrouya,53,53,,Columbia North,Columbia North,F,Adult,2016/07/17,2016/12/16,,Censored,,,,release,152,,
Gill / Serrouya,8,8,,Columbia North,Columbia North,F,Adult,2016/07/17,2016/12/08,,Censored,,,,release,144,,
Gill / Serrouya,61,61,,Columbia North,Columbia North,F,Adult,2016/07/17,2016/12/08,,Censored,,,,release,144,,
Gill / Serrouya,23,23,,Columbia North,Columbia North,F,Adult,2016/04/01,2017/10/27,,Censored,,,,wild,574,,
Gill / Serrouya,35,35,,Columbia North,Columbia North,F,Adult,2016/04/01,2016/12/06,,Censored,,,,wild,249,,
Gill / Serrouya,36,36,,Columbia North,Columbia North,F,Adult,2016/04/01,2016/10/05,,Censored,,,,wild,187,,
Gill / Serrouya,30,30,,Columbia North,Columbia North,F,Adult,2016/04/01,2016/06/07,,Censored,,,,wild,67,,
Gill / Serrouya,32,32,,Columbia North,Columbia North,F,Adult,2016/04/01,2016/06/07,,Censored,,,,wild,67,,
Gill / Serrouya,24,24,,Columbia North,Columbia North,F,Adult,2016/04/01,2016/06/06,,Censored,,,,wild,66,,
Gill / Serrouya,22,22,,Columbia North,Columbia North,F,Adult,2016/04/01,2016/06/04,,Censored,,,,wild,64,,
Gill / Serrouya,29,29,,Columbia North,Columbia North,F,Adult,2016/04/01,2016/05/25,,Censored,,,,wild,54,,
Gill / Serrouya,1,1,,Columbia North,Columbia North,F,Adult,2016/04/01,2016/04/20,,Censored,,,,wild,19,,
Gill / Serrouya,34,34,,Columbia North,Columbia North,F,Adult,2016/04/01,2016/04/20,,Censored,,,,wild,19,,
CL-from SMcNay,CN350Ka,CN350Ka,NA,Klinse-Za,Klinse-Za,F,Adult,2016/03/17,2017/01/30,2017/01/30,Mortality,DEAD,,,,319,,
CL-from SMcNay,CN346Ka,CN346Ka,NA,Klinse-Za,Klinse-Za,F,Adult,2016/03/16,2021/03/31,NA,Censored,FADE,,,,1841,,
CL-from SMcNay,CN349Sa,CN349Sa,NA,Klinse-Za,Klinse-Za,F,Adult,2016/03/16,2021/03/31,NA,Censored,FADE,,,,1841,,
CL-from SMcNay,CN348Sa,CN348Sa,NA,Klinse-Za,Klinse-Za,F,Adult,2016/03/16,2020/03/10,2020/03/10,Mortality,DEAD,,,,1455,,
CL-from SMcNay,CN347Ka,CN347Ka,NA,Klinse-Za,Klinse-Za,F,Adult,2016/03/16,2018/12/15,2018/12/15,Mortality,DEAD,,,,1004,,
LGreene,TC083,TC083,18-13314,Telkwa,Telkwa,F,Juv,2016/03/16,2018/09/10,NA,Censored,NA,,,,908,,
LGreene,TC082,TC082,18-13312,Telkwa,Telkwa,M,Adult,2016/03/16,2018/09/09,NA,Censored,NA,,,,907,,
,car200,car200,18-13095H,Kennedy Siding,Kennedy Siding,F,Adult,2016/03/07,2019/04/03,2019/04/03,Censored,Unknown,,,Seen alive in March 2021 (21.03). This individual is also known as PIN.,1122,,
,car199,car199,18-13094H,Kennedy Siding,Kennedy Siding,F,Adult,2016/03/07,2019/01/31,2019/01/31,Censored,Unknown,,,Seen alive in fall 2020. This individual is also known as TEMPLE.,1060,,
,car198,car198,18-13093H,Kennedy Siding,Kennedy Siding,F,Adult,2016/03/07,2017/10/07,2017/10/07,Mortality,Cougar,523011,6120275,Cougar predation,579,,
,18,PEA-007,18-13091,Quintette,Quintette,F,Adult,2016/03/01,2019/03/22,2019/03/22,Censored,Unknown,,,,1116,Note: Animal ID entered by BM,
,17,NA,18-13090H,Quintette,Quintette,F,Juv,2016/03/01,2019/03/19,2019/03/19,Censored,Unknown,,,,1113,,
,16,PEA-005,18-13089,Quintette,Quintette,F,Adult,2016/03/01,2019/02/02,2019/02/02,Censored,Unknown,,,,1068,Note: Animal ID entered by BM,
,car197,car197,NA,Quintette,Quintette,F,Adult,2016/03/01,2016/05/03,2016/05/03,Mortality,Unknown, 582200,6069044,"The carcass is down in the canyon along the creek.  We could see it but did not try to retrieve it.  It may have been possible, but would have been unnecessarily risky. Cause of death is unknown.",63,,
MJF from AMRoberts,TWC1031,TWC1031,17-10823,Tweedsmuir,Tweedsmuir,F,Adult,2016/02/16,2020/04/12,2020/04/12,Mortality,possible wolf,,,,1517,,
MJF from AMRoberts,TWC1028,TWC1028,16-7976,Tweedsmuir,Tweedsmuir,F,Adult,2016/02/16,2018/05/14,2018/05/14,Mortality,possible grizzly,,,,818,,
MJF from AMRoberts,TWC1029,TWC1029,16-7967,Tweedsmuir,Tweedsmuir,F,Adult,2016/02/16,2018/05/05,2018/05/05,Mortality,unknown,,,,809,,
MJF from AMRoberts,TWC1030,TWC1030,16-7969,Tweedsmuir,Tweedsmuir,F,Adult,2016/02/16,2017/08/19,2017/08/19,Mortality,possible wolf,,,,550,,
MJF from AMRoberts,TWC1027,TWC1027,16-7970,Tweedsmuir,Tweedsmuir,F,Adult,2016/02/15,2017/07/04,2017/07/04,Mortality,wolf,,,,505,,
MJF from AMRoberts,TWC1026,TWC1026,16-7972,Tweedsmuir,Tweedsmuir,F,Adult,2016/02/15,2016/04/15,2016/04/15,Mortality,wolf,,,,60,,
Klaczek,1,NA,16-7936,Wolverine,Wolverine,F,Adult,2016/02/08,2019/04/30,NA,Censored,NA,,,,1177,,
Klaczek,2,NA,16-7937,Wolverine,Wolverine,F,Adult,2016/02/08,2019/04/30,NA,Censored,NA,,,,1177,,
Klaczek,6,NA,16-7941,Wolverine,Wolverine,F,Adult,2016/02/08,2019/04/30,NA,Censored,NA,,,original collar failed but recapture in january 2018,1177,,
Klaczek,8,NA,16-7943,Wolverine,Wolverine,F,Adult,2016/02/08,2019/04/30,NA,Censored,NA,,,,1177,,
Klaczek,11,NA,16-7946,Wolverine,Wolverine,F,Adult,2016/02/08,2019/04/30,NA,Censored,NA,,,,1177,,
Klaczek,13,NA,16-7948,Wolverine,Wolverine,F,Adult,2016/02/08,2019/04/30,NA,Censored,NA,,,original collar faile but recaptured in january 2018,1177,,
Klaczek,14,NA,16-7949,Wolverine,Wolverine,F,Adult,2016/02/08,2019/04/30,NA,Censored,NA,,,,1177,,
Klaczek,18,NA,16-7953,Wolverine,Wolverine,F,Adult,2016/02/08,2019/04/30,NA,Censored,NA,,,,1177,,
Klaczek,20,NA,16-7955,Wolverine,Wolverine,F,Adult,2016/02/08,2019/04/30,NA,Censored,NA,,,,1177,,
Klaczek,21,NA,16-7956,Wolverine,Wolverine,F,Adult,2016/02/08,2019/04/30,NA,Censored,NA,,,,1177,,
Klaczek,23,NA,16-7958,Wolverine,Wolverine,F,Adult,2016/02/08,2019/04/30,NA,Censored,NA,,,,1177,,
Klaczek,24,NA,16-7959,Wolverine,Wolverine,F,Adult,2016/02/08,2019/04/30,NA,Censored,NA,,,,1177,,
Klaczek,28,NA,16-7963,Wolverine,Wolverine,F,Adult,2016/02/08,2019/04/30,NA,Censored,NA,,,,1177,,
Klaczek,27,NA,16-7962,Wolverine,Wolverine,F,Adult,2016/02/08,2018/05/23,2018/05/23,Mortality,unknown,,,,835,,
Klaczek,16,NA,16-7951,Wolverine,Wolverine,F,Adult,2016/02/08,2018/05/16,2018/05/16,Mortality,unknown,,,,828,,
Klaczek,3,NA,16-7938,Wolverine,Wolverine,F,Adult,2016/02/08,2017/12/27,2017/12/27,Mortality,unknown,,,collar issues (no mort signal) - assumed dead on last fix.,688,,
Klaczek,25,NA,16-7960,Wolverine,Wolverine,F,Adult,2016/02/08,2017/11/04,2017/11/04,Mortality,unknown,,,"BM: Changed ""unknown"" in ""Outcome"" column to ""Mortality"" collar issues (no mort signal) - assumed dead on last fix.",635,,
Klaczek,22,NA,16-7957,Wolverine,Wolverine,F,Adult,2016/02/08,2017/10/05,2017/10/05,Mortality,wolf,,,,605,,
Klaczek,26,NA,16-7961,Wolverine,Wolverine,F,Adult,2016/02/08,2017/09/14,2017/09/14,Mortality,wolf,,,,584,,
Klaczek,9,NA,16-7944,Wolverine,Wolverine,F,Adult,2016/02/08,2017/08/23,2017/08/23,Mortality,unknown,,,collar issues (no mort signal) - assumed dead on last fix.,562,,
Klaczek,30,NA,16-7965,Wolverine,Wolverine,F,Adult,2016/02/08,2017/08/07,2017/08/07,Mortality,unknown,,,collar issues (no mort signal) - assumed dead on last fix.,546,,
Klaczek,5,NA,16-7940,Wolverine,Wolverine,F,Adult,2016/02/08,2017/07/14,2017/07/14,Mortality,unknown,,,collar issues (no mort signal) - assumed dead on last fix.,522,,
Klaczek,29,NA,16-7964,Wolverine,Wolverine,F,Adult,2016/02/08,2017/07/14,2017/07/14,Mortality,unknown,,,collar issues (no mort signal) - assumed dead on last fix.,522,,
Klaczek,10,NA,16-7945,Wolverine,Wolverine,F,Adult,2016/02/08,2017/05/23,2017/05/23,Mortality,wolf,,,,470,,
Klaczek,19,NA,16-7954,Wolverine,Wolverine,F,Adult,2016/02/08,2017/02/13,2017/02/13,Mortality,unknown,,,collar issues (no mort signal) - assumed dead on last fix.,371,,
Klaczek,4,NA,16-7939,Wolverine,Wolverine,F,Adult,2016/02/08,2016/05/25,2016/05/25,Mortality,unknown,,,collar issues (no mort signal) - assumed dead on last fix.,107,,
Klaczek,17,NA,16-7952,Wolverine,Wolverine,F,Adult,2016/02/08,2016/05/04,2016/05/04,Mortality,wolf,,,,86,,
Klaczek,12,NA,16-7947,Wolverine,Wolverine,F,Adult,2016/02/08,2016/04/20,2016/04/20,Mortality,wolf,,,,72,,
Klaczek,15,NA,16-7950,Wolverine,Wolverine,F,Adult,2016/02/08,2016/02/25,NA,Censored,NA,,,collar in mort shortly after capture but couldn't find carcass or collar in field. maybe collar slipped? unknown fate,17,,
Klaczek,7,NA,16-7942,Wolverine,Wolverine,F,Adult,2016/02/08,2016/02/22,2016/02/22,Mortality,wolverine,,,,14,,
MJF from AMRoberts,TWC1025,TWC1025,18-13309,Tweedsmuir,Tweedsmuir,F,Adult,2016/01/16,2019/11/10,NA,Censored,collar failure,,,,1394,,
Gill / Serrouya,1,1,,Columbia North,Columbia North,F,Adult,2015/07/16,2016/03/31,,Alive,,,,release,259,,
Gill / Serrouya,22,22,,Columbia North,Columbia North,F,Adult,2015/07/16,2016/03/31,,Alive,,,,release,259,,
Gill / Serrouya,23,23,,Columbia North,Columbia North,F,Adult,2015/07/16,2016/03/31,,Alive,,,,release,259,,
Gill / Serrouya,24,24,,Columbia North,Columbia North,F,Adult,2015/07/16,2016/03/31,,Alive,,,,release,259,,
Gill / Serrouya,29,29,,Columbia North,Columbia North,F,Adult,2015/07/16,2016/03/31,,Alive,,,,release,259,,
Gill / Serrouya,30,30,,Columbia North,Columbia North,F,Adult,2015/07/16,2016/03/31,,Alive,,,,release,259,,
Gill / Serrouya,32,32,,Columbia North,Columbia North,F,Adult,2015/07/16,2016/03/31,,Alive,,,,release,259,,
Gill / Serrouya,34,34,,Columbia North,Columbia North,F,Adult,2015/07/16,2016/03/31,,Alive,,,,release,259,,
Gill / Serrouya,35,35,,Columbia North,Columbia North,F,Adult,2015/07/16,2016/03/31,,Alive,,,,release,259,,
Gill / Serrouya,36,36,,Columbia North,Columbia North,F,Adult,2015/07/16,2016/03/31,,Alive,,,,release,259,,
Gill / Serrouya,26,26,,Columbia North,Columbia North,F,Adult,2015/07/16,2016/03/27,,Censored,,,,release,255,,
Gill / Serrouya,25,25,,Columbia North,Columbia North,F,Adult,2015/07/16,2016/03/25,,Alive,,,,release,253,,
Gill / Serrouya,2,2,,Columbia North,Columbia North,F,Adult,2015/07/16,2016/03/04,,Censored,,,,release,232,,
Gill / Serrouya,28,28,,Columbia North,Columbia North,F,Adult,2015/07/16,2015/11/25,,Censored,,,,release,132,,
Gill / Serrouya,31,31,,Columbia North,Columbia North,F,Adult,2015/07/16,2015/11/16,2015/11/16,Mortality,Cougar,,,release,123,,
Gill / Serrouya,27,27,,Columbia North,Columbia North,F,Adult,2015/07/16,2015/11/05,2015/11/05,Mortality,Cougar,,,release,112,,
Kevin Watt,39,NA,18-14819H,Graham,Graham,F,Adult,2015/04/03,2021/03/31,NA,Alive,NA,,,,2189,,
Kevin Watt,40,NA,18-14820H,Graham,Graham,F,Adult,2015/04/03,2021/03/31,NA,Alive,NA,,,,2189,,
Kevin Watt,37,NA,18-14817H,Graham,Graham,F,Adult,2015/04/03,2019/08/24,2019/08/24,Mortality,Unknown,,,,1604,,
Kevin Watt,38,NA,18-14818H,Graham,Graham,F,Adult,2015/04/03,2019/08/24,2019/08/24,Mortality,Unknown,,,,1604,,
Kevin Watt,43,NA,18-14823H,Graham,Graham,F,Adult,2015/04/03,2019/03/28,2019/03/28,Mortality,Unknown,,,,1455,,
Kevin Watt,41,NA,18-14821H,Graham,Graham,F,Adult,2015/04/03,2018/04/08,2018/04/08,Mortality,Unknown,,,,1101,,
Kevin Watt,36,NA,18-14816H,Graham,Graham,F,Adult,2015/04/03,2017/01/23,2017/01/23,Mortality,Unknown,,,,661,,
Kevin Watt,42,NA,18-14822H,Graham,Graham,F,Adult,2015/04/03,2016/07/21,2016/07/21,Mortality,Unknown,,,,475,,
,15,NA,18-13088H,Quintette,Quintette,F,Adult,2015/04/02,2018/07/11,2018/07/11,Censored,Unknown,,,,1196,,
,14,NA,18-13087H,Quintette,Quintette,F,Adult,2015/04/02,2018/07/10,2018/07/10,Censored,Unknown,,,,1195,,
,11,NA,18-13084H,Quintette,Quintette,F,Adult,2015/04/02,2018/06/23,2018/06/23,Censored,Unknown,,,,1178,,
,13,PEA-020,18-13086,Quintette,Quintette,F,Adult,2015/04/02,2018/06/21,2018/06/21,Censored,Unknown,,,,1176,Note: Animal ID entered by BM,
,12,NA,18-13085H,Quintette,Quintette,F,Adult,2015/04/02,2018/05/29,2018/05/29,Censored,Unknown,,,,1153,,
Gill / Serrouya,3,3,,Columbia North,Columbia North,F,Adult,2015/04/01,2016/02/05,,Censored,,,,wild,310,,
Gill / Serrouya,8,8,,Columbia North,Columbia North,F,Adult,2015/04/01,2016/02/04,,Censored,,,,wild,309,,
Gill / Serrouya,4,4,,Columbia North,Columbia North,F,Adult,2015/04/01,2015/04/09,,Censored,,,,wild,8,,
Gill / Serrouya,6,6,,Columbia North,Columbia North,F,Adult,2015/04/01,2015/04/09,,Censored,,,,wild,8,,
Gill / Serrouya,7,7,,Columbia North,Columbia North,F,Adult,2015/04/01,2015/04/09,,Censored,,,,wild,8,,
Gill / Serrouya,9,9,,Columbia North,Columbia North,F,Adult,2015/04/01,2015/04/09,,Censored,,,,wild,8,,
CL-from SMcNay,CN338Ka,CN338Ka,NA,Klinse-Za,Klinse-Za,F,Adult,2015/03/24,2021/03/31,NA,Censored,FADE,,,,2199,,
CL-from SMcNay,CN333Ka,CN333Ka,NA,Klinse-Za,Klinse-Za,F,Adult,2015/03/18,2021/03/31,NA,Censored,FADE,,,,2205,,
CL-from SMcNay,CN335Ka,CN335Ka,NA,Klinse-Za,Klinse-Za,F,Adult,2015/03/18,2021/03/31,NA,Censored,FADE,,,,2205,,
CL-from SMcNay,CN332Ka,CN332Ka,NA,Klinse-Za,Klinse-Za,F,Adult,2015/03/18,2020/12/08,2020/12/08,Mortality,DEAD,,,,2092,,
CL-from SMcNay,CN336Ka,CN336Ka,NA,Klinse-Za,Klinse-Za,F,Adult,2015/03/18,2019/12/08,2019/12/08,Mortality,DEAD,,,,1726,,
CL-from SMcNay,CN331Ka,CN331Ka,NA,Klinse-Za,Klinse-Za,F,Adult,2015/03/18,2017/07/15,2017/07/15,Mortality,DEAD,,,,850,,
LGreene,TC003,TC003,17-10816,Telkwa,Telkwa,F,Adult,2015/03/17,2017/10/29,NA,Censored,NA,,,,957,,
LGreene,TC006,TC006,NA,Telkwa,Telkwa,F,Adult,2015/03/17,2017/04/21,NA,Censored,NA,,,,766,,
,car185,car185,18-13081H,Kennedy Siding,Kennedy Siding,F,Adult,2015/03/16,2018/06/15,2018/06/15,Censored,Unknown,,,Seen alive in fall 2020. This individual is also known as Gray Neck Girl.,1187,,
,car186,car186,18-13082H,Kennedy Siding,Kennedy Siding,F,Adult,2015/03/16,2018/05/29,2018/05/29,Censored,Unknown,,,,1170,,
,car187,car187,NA,Kennedy Siding,Kennedy Siding,F,Adult,2015/03/16,2016/01/02,2016/01/02,Mortality,Vehicle collision,511700,6108500,,292,,
,car184,car184,18-13080H,Kennedy Siding,Kennedy Siding,F,Adult,2015/03/16,2015/07/25,2015/07/25,Mortality,Unknown,,,"BM changed mortality date to July 25, 2015 — midpoint between June 15 (last date known alive) and September 1 (first date known dead)",131,,
,car181,car181,18-13077H,Quintette,Quintette,F,Adult,2015/03/10,2018/06/07,2018/06/07,Censored,Unknown,,,,1185,,
,car182,car182,18-13078H,Quintette,Quintette,F,Adult,2015/03/10,2018/05/29,2018/05/29,Censored,Unknown,,,,1176,,
,car183,car183,NA,Quintette,Quintette,F,Adult,2015/03/10,2015/05/13,2015/05/13,Mortality,Grizzly bear,605197,6108471,,64,,
,car180,car180,NA,Quintette,Quintette,F,Adult,2015/03/10,2015/05/10,2015/05/10,Mortality,Grizzly bear,636419,6080795,,61,,
Kevin Watt,33,NA,18-14813H,Graham,Graham,F,Adult,2015/02/28,2021/03/31,NA,Alive,NA,,,,2223,,
Kevin Watt,30,NA,18-14809H,Graham,Graham,F,Adult,2015/02/28,2019/02/27,2019/02/27,Mortality,Unknown,,,,1460,,
Kevin Watt,32,NA,18-14812H,Graham,Graham,F,Adult,2015/02/28,2017/10/23,2017/10/23,Mortality,Unknown,,,,968,,
Kevin Watt,35,NA,18-14815H,Graham,Graham,F,Adult,2015/02/28,2017/07/06,2017/07/06,Mortality,Unknown,,,,859,,
Kevin Watt,31,NA,18-14811H,Graham,Graham,F,Adult,2015/02/28,2016/07/21,2016/07/21,Mortality,Unknown,,,,509,,
Kevin Watt,34,NA,18-14814H,Graham,Graham,F,Adult,2015/02/28,2015/04/27,2015/04/27,Mortality,Unknown,,,Dead shortly after capture wolverine tracks around area,58,,
LGreene,TC005,TC005,16-8929,Telkwa,Telkwa,F,Adult,2015/02/10,2016/12/18,NA,Censored,NA,,,,677,,
LGreene,TC081,TC081,NA,Telkwa,Telkwa,F,Adult,2015/02/10,2015/09/23,NA,Censored,NA,,,,225,,
Kevin Watt,29,NA,18-14808H,Graham,Graham,F,Adult,2015/02/03,2021/03/31,NA,Alive,NA,,,,2248,,
Kevin Watt,28,NA,18-14807H,Graham,Graham,F,Adult,2015/02/03,2020/05/10,2020/05/10,Mortality,Unknown,,,Midpoint between last heard and when VHF heard on mortality,1923,,
Kevin Watt,24,NA,18-14803H,Graham,Graham,F,Adult,2015/02/03,2017/07/06,2017/07/06,Mortality,Unknown,,,,884,,
Kevin Watt,26,NA,18-14805H,Graham,Graham,F,Adult,2015/02/03,2017/07/06,2017/07/06,Mortality,Unknown,,,,884,,
Kevin Watt,25,NA,18-14804H,Graham,Graham,F,Adult,2015/02/03,2017/04/10,2017/04/10,Mortality,Unknown,,,,797,,
Kevin Watt,27,NA,18-14806H,Graham,Graham,F,Adult,2015/02/03,2015/09/10,2015/09/10,Mortality,Unknown,,,,219,,
Kevin Watt,19,NA,18-14798H,Graham,Graham,F,Adult,2015/02/02,2021/01/07,NA,Censored,NA,,,"Detected during Oct. 2020 VHF flight not detected during March 2021 survey, censored at midpoint",2166,,
Kevin Watt,21,NA,18-14800H,Graham,Graham,F,Adult,2015/02/02,2019/02/27,2019/02/27,Mortality,Unknown,,,,1486,,
Kevin Watt,23,NA,18-14802H,Graham,Graham,F,Adult,2015/02/02,2018/09/19,2018/09/19,Mortality,Unknown,,,,1325,,
Kevin Watt,20,NA,18-14799H,Graham,Graham,F,Adult,2015/02/02,2017/07/06,2017/07/06,Mortality,Unknown,,,,885,,
Kevin Watt,22,NA,18-14801H,Graham,Graham,F,Adult,2015/02/02,2016/07/21,2016/07/21,Mortality,Unknown,,,,535,,
MJF from AMRoberts,TWC1015,TWC1015,NA,Tweedsmuir,Tweedsmuir,F,Adult,2015/01/26,2018/08/20,NA,Censored,collar failure,,,,1302,,
MJF from AMRoberts,TWC1016,TWC1016,NA,Tweedsmuir,Tweedsmuir,F,Adult,2015/01/22,2018/09/14,NA,Censored,collar failure,,,,1331,,
MJF from AMRoberts,TWC1014,TWC1014,NA,Tweedsmuir,Tweedsmuir,F,Adult,2015/01/22,2018/04/13,NA,Censored,collar failure,,,,1177,,
MJF from AMRoberts,TWC1011,TWC1011,NA,Tweedsmuir,Tweedsmuir,F,Adult,2015/01/22,2015/07/09,2015/07/09,Mortality,unknown,,,,168,,
MJF from AMRoberts,TWC1024,TWC1024,NA,Tweedsmuir,Tweedsmuir,F,Adult,2015/01/22,2015/03/10,2015/03/10,Mortality,wolf,,,,47,,
MJF from AMRoberts,TWC1017,TWC1017,NA,Tweedsmuir,Tweedsmuir,F,Adult,2015/01/21,2017/12/12,NA,Censored,collar failure,,,,1056,,
MJF from AMRoberts,TWC1013,TWC1013,NA,Tweedsmuir,Tweedsmuir,F,Adult,2015/01/21,2015/03/15,NA,Censored,collar failure,,,,53,,
MJF from AMRoberts,TWC1012,TWC1012,NA,Tweedsmuir,Tweedsmuir,M,Adult,2015/01/20,2018/03/27,NA,Censored,collar failure,,,,1162,,
MJF from AMRoberts,TWC1009,TWC1009,17-10824,Tweedsmuir,Tweedsmuir,F,Adult,2015/01/15,2021/03/31,NA,Alive,NA,,,Still alive,2267,,
CL-from Elena ,car178,car178,NA,Narraway BC,Narraway,F,Adult,2014/12/19,2018/01/04,NA,Censored,NA,,,"CL assumed adult, no mention of being calf in capture data",1112,,
CL-from Elena ,car179,car179,NA,Narraway BC,Narraway,F,Adult,2014/12/19,2017/12/10,NA,Censored,NA,,,"CL assumed adult, no mention of being calf in capture data",1087,,
CL-from Elena ,car177,car177,NA,Narraway BC,Narraway,F,Adult,2014/12/19,2015/05/12,NA,Censored,NA,,,"CL assumed adult, no mention of being calf in capture data",144,,
,10,NA,18-13071H,Quintette,Quintette,F,Adult,2014/12/18,2018/02/13,2018/02/13,Censored,Unknown,,,,1153,,
,car176,car176,NA,Quintette,Quintette,F,Adult,2014/12/18,2014/12/23,2014/12/23,Mortality,Unknown,,, Not enough sign to determine cause of death.  Collar only on for 5 days,5,,
Kevin Watt,16,NA,18-14795H,Graham,Graham,F,Adult,2014/12/16,2017/07/06,2017/07/06,Mortality,Unknown,,,,933,,
Kevin Watt,17,NA,18-14796H,Graham,Graham,F,Adult,2014/12/16,2017/07/06,2017/07/06,Mortality,Unknown,,,,933,,
Kevin Watt,18,NA,18-14797H,Graham,Graham,F,Adult,2014/12/16,2016/11/15,2016/11/15,Mortality,Unknown,,,,700,,
Kevin Watt,15,NA,18-14794H,Graham,Graham,F,Adult,2014/12/16,2015/06/23,2015/06/23,Mortality,Unknown,,,,189,,
MJF from AMRoberts,TWC1001,TWC1001,NA,Tweedsmuir,Tweedsmuir,M,Adult,2014/10/23,2018/02/16,2018/02/16,Mortality,complications from injury,,,accident involving large puncture wound on torso,1212,,
MJF from AMRoberts,TWC1005,TWC1005,NA,Tweedsmuir,Tweedsmuir,F,Adult,2014/10/23,2017/03/11,2017/03/11,Mortality,wolf,,,,870,,
MJF from AMRoberts,TWC1008,TWC1008,NA,Tweedsmuir,Tweedsmuir,F,Adult,2014/10/23,2016/03/12,2016/03/12,Mortality,wolf,,,,506,,
MJF from AMRoberts,TWC1003,TWC1003,NA,Tweedsmuir,Tweedsmuir,F,Adult,2014/10/22,2018/08/21,NA,Censored,collar failure,,,,1399,,
MJF from AMRoberts,TWC1007,TWC1007,NA,Tweedsmuir,Tweedsmuir,F,Adult,2014/10/22,2016/04/15,NA,Censored,collar failure,,,,541,,
MJF from AMRoberts,TWC1006,TWC1006,NA,Tweedsmuir,Tweedsmuir,F,Adult,2014/10/22,2016/03/08,2016/03/08,Mortality,wolf,,,,503,,
MJF from AMRoberts,TWC1004,TWC1004,NA,Tweedsmuir,Tweedsmuir,F,Adult,2014/10/22,2015/08/16,NA,Mortality,unknown,,,,298,,
MJF from AMRoberts,TWC1010,TWC1010,NA,Tweedsmuir,Tweedsmuir,F,Adult,2014/10/22,2015/01/30,2015/01/30,Mortality,complications from injury,,,,100,,
MJF from AMRoberts,TWC1002,TWC1002,NA,Tweedsmuir,Tweedsmuir,F,Adult,2014/10/21,2017/02/23,2017/02/23,Mortality,wolf,,,,856,,
LGreene,TC080,TC080,NA,Telkwa,Telkwa,M,Adult,2014/10/06,2015/07/22,NA,Censored,NA,,,,289,,
Gill / Serrouya,1,1,,Columbia North,Columbia North,F,Adult,2014/07/24,2015/04/02,,Alive,,,,release,252,,
Gill / Serrouya,3,3,,Columbia North,Columbia North,F,Adult,2014/07/24,2015/03/31,,Alive,,,,release,250,,
Gill / Serrouya,4,4,,Columbia North,Columbia North,F,Adult,2014/07/24,2015/03/31,,Alive,,,,release,250,,
